AUTOR,SERIE,Age (MA),PLUTON,Sample,Rb ppm,Sr ppm,Rb/Sr,87Rb/86Sr(T),Error,87Sr/86Sr(T),Error
[13],Paleoproterozoic,,Pla. gnaisse,CF-10,59,204.7,0.288226673,0.84,,0.7504,
[14],Paleoproterozoic,,,ZEF73,188,82,2.292682927,6.663,,0.838146,
[14],Paleoproterozoic,,,ZEF50,168,160,1.05,3.051,,0.79884,
[14],Paleoproterozoic,,,ZEF54,169,257,0.657587549,1.91,,0.76358,
[14],Paleoproterozoic,,,ZEF53A,156,275,0.567272727,1.646,,0.761116,
[14],Paleoproterozoic,,,ZEF66,99,192,0.515625,1.509,,0.74513,
[14],Paleoproterozoic,,,ZEF49,133,330,0.403030303,1.17,,0.740727,
[14],Paleoproterozoic,,,ZEF44,119,290,0.410344828,1.19,,0.740589,
[14],Paleoproterozoic,,,ZEF28A,112,283,0.395759717,1.172,,0.737012,
[14],Paleoproterozoic,,,ZEF52,174,514,0.338521401,0.981,,0.732627,
[14],Paleoproterozoic,,,ZEF58,130,470,0.276595745,0.803,,0.728439,
[14],Paleoproterozoic,,,ZEF9,100,368,0.27173913,0.791,,0.726997,
[14],Paleoproterozoic,,,ZEF28B,93,377,0.24668435,0.718,,0.725881,
[14],Paleoproterozoic,,,ZEF57,169,542,0.311808118,0.905,,0.725855,
[14],Paleoproterozoic,,,ZEF29(ES809),142,674,0.210682493,0.61,,0.723758,
[14],Paleoproterozoic,,,ZEF47,110,415,0.265060241,0.765,,0.722142,
[14],Paleoproterozoic,,,NAT13A,89,403,0.220843672,0.638,,0.72147,
[14],Paleoproterozoic,,,ZEF63,33,497,0.06639839,0.194,,0.720619,
[14],Paleoproterozoic,,,LG11,56,562,0.099644128,0.289,,0.7205,
[14],Paleoproterozoic,,,ZEF43,117,595,0.196638655,0.569,,0.719424,
[14],Paleoproterozoic,,,ZEF62A,33,389,0.084832905,0.248,,0.717047,
[14],Paleoproterozoic,,,ZEF76,82,455,0.18021978,0.52,,0.715234,
[14],Paleoproterozoic,,,ZEF70,59,428,0.137850467,0.398,,0.714095,
[14],Paleoproterozoic,,,ZEF8A,69,573,0.120418848,0.341,,0.713982,
[14],Paleoproterozoic,,,ES543B,81,633,0.127962085,0.37,,0.71298,
[14],Paleoproterozoic,,,ZEF68A,94,890,0.105617978,0.307,,0.711269,
[14],Paleoproterozoic,,,LG157,28,541,0.051756007,0.15,,0.71045,
